Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-10-07 18:17:33,2023-10-09 03:14:56,1574,WINE AND SPIRITS 5156,Merchandise,24.43,
2023-02-08 23:49:58,2023-02-09 04:40:11,1574,VIP MARKET,Merchandise,24.32,
2023-12-17 02:16:35,2023-12-18 10:56:08,1574,CHIPOTLE 2257,Dining,9.92,
2023-10-13 02:55:08,2023-10-14 22:11:44,1574,VIP MARKET,Merchandise,30.35,
2023-02-28 07:23:50,2023-03-01 05:22:08,1574,STARBUCKS 800-782-7282,Dining,10.76,
2023-08-03 21:37:53,2023-08-04 19:54:04,1574,The Skinny Bar and Lou,Dining,20.27,
2023-02-09 01:05:11,2023-02-10 06:38:53,1574,The Skinny Bar and Lou,Dining,32.64,
2023-08-02 07:22:22,2023-08-03 04:31:34,1574,SQ *LIBERTY BAGELS MID,Dining,14.9,
2023-09-04 14:50:09,2023-09-05 20:36:30,1574,BAGELS SCHMEAR,Dining,9.66,
2023-10-22 14:42:19,2023-10-23 10:29:12,1574,MTA*NYCT PAYGO,Other Travel,2.6,
2023-11-22 10:40:16,2023-11-22 16:10:57,1574,MTA*NYCT PAYGO,Other Travel,2.82,
2023-11-02 19:52:15,2023-11-04 00:08:30,1574,MTA*NYCT PAYGO,Other Travel,2.7,
2023-11-22 19:29:59,2023-11-23 02:52:28,1574,MTA*NYCT PAYGO,Other Travel,2.99,
2023-02-17 18:53:12,2023-02-18 02:54:27,1574,MTA*NYCT PAYGO,Other Travel,2.83,
2023-07-15 15:41:10,2023-07-16 14:14:56,1574,MTA*NYCT PAYGO,Other Travel,2.69,
2023-04-15 13:34:41,2023-04-15 23:07:16,1574,LS LANDMARK WINE & SPI,Merchandise,6.8,
2023-12-06 00:38:36,2023-12-06 23:58:05,1574,UBER   TRIP,Other Travel,19.47,
2023-06-15 17:19:44,2023-06-16 16:03:02,1574,UBER   TRIP,Other Travel,13.08,
2023-12-27 11:17:28,2023-12-27 22:07:54,1574,UBER   TRIP,Other Travel,33.8,
2023-11-08 06:40:57,2023-11-09 11:36:59,1574,TACO BELL 346400346460,Dining,9.19,
2023-07-10 22:24:13,2023-07-12 15:32:53,1574,LYFT   *RIDE THU 9AM,Other Travel,25.69,
2023-02-03 19:04:58,2023-02-04 05:44:08,1574,WENDY'S 10480,Dining,8.07,
2023-02-15 20:50:19,2023-02-17 08:54:27,1574,PAPA JOHN'S 3201,Dining,7.1,
2023-07-28 00:59:07,2023-07-28 16:32:25,1574,UBER   TRIP,Other Travel,9.91,
2023-06-15 23:59:10,2023-06-16 14:55:59,1574,UBER   TRIP,Other Travel,10.75,
2023-12-29 08:07:34,2023-12-29 15:41:46,1574,UBER   TRIP,Other Travel,55.74,
2023-11-12 10:53:05,2023-11-13 03:09:06,1574,SQ *SHAKE SHACK,Dining,12.62,
2023-11-14 13:13:17,2023-11-15 00:01:17,1574,UBER   TRIP,Other Travel,10.59,
2023-11-14 19:56:06,2023-11-14 23:22:13,1574,CVS/PHARMACY #04007,Health Care,8.55,
2023-03-26 11:38:25,2023-03-27 05:35:49,1574,CVS/PHARMACY #02951,Health Care,28.84,
2023-03-02 17:10:50,2023-03-02 22:25:19,1574,WINE AND SPIRITS 5156,Merchandise,25.98,
2023-12-02 19:34:53,2023-12-04 15:03:47,1574,UBER   TRIP,Other Travel,11.85,
2023-09-12 01:20:32,2023-09-12 08:13:35,1574,MINUTEKEY,Merchandise,15.86,
2023-07-27 13:55:52,2023-07-28 10:16:22,1574,WAL-MART #2167,Merchandise,39.05,
